Country;Coverage
AE;0.95
AR;0.95
AT;0.99
AU;0.99
BE;0.99
BG;0.95
BH;0.95
BR;0.96
CA;0.99
CH;0.99
CL;0.95
CN;0.95
CO;0.95
CY;0.95
CZ;1
DE;0.99
DK;0.99
EE;0.95
EG;0.95
ES;0.99
FI;0.99
FR;0.99
GB;0.99
GR;0.95
HK;0.99
HR;0.99
HU;0.95
ID;0.95
IE;0.99
IL;0.95
IN;0.95
IS;0.99
IT;0.99
JP;0.99
KR;0.95
KW;0.95
LT;0.99
LU;0.99
LV;0.95
MA;0.95
MK;1
MT;0.95
MX;0.975
MY;0.95
NG;0.95
NL;0.99
NO;0.99
NZ;0.99
OM;0.95
PE;0.95
PH;0.95
PK;0.95
PL;0.99
PT;0.99
QA;0.95
RO;0.95
RS;1
SA;0.95
SE;0.99
SG;0.99
SI;1
TH;0.95
TN;0.95
TR;0.95
TW;0.95
US;0.99
VN;0.95
ZA;0.95
RU;0.95